Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
1.25E+10,"Sep 30, 2024, 4:56:43 PM",Night Walk,Walk,,2133,2.45,,,FALSE,,,activities/12541930910.gpx,,,2133,2133,2450.8,6.679,1.149,29.8,29.8,-1.9,17.9,26.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.149,0,,,,3562,,,,,,,,,,,,,
1.25E+10,"Sep 30, 2024, 6:33:52 PM",Night Walk pt. 2,Walk,,3964,4.22,,,FALSE,,,activities/12542607934.gpx,,,3964,3667,4226.9,11.776,1.153,54.1,54.1,-2,20.9,42.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.066,0,,,,6458,,,,,,,,,,,,,
1.26E+10,"Oct 1, 2024, 3:59:31 PM",wow 10km?!,Walk,,14470,10.15,,,FALSE,,,activities/12551183419.gpx,,,14470,8617,10157.6,16.282,1.179,106.9,106.9,-2.7,23.8,49.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.702,0,,,,12900,,,,,,,,,,,,,
1.26E+10,"Oct 6, 2024, 3:36:50 PM",Night Walk,Walk,,11670,5.6,,,FALSE,,,activities/12592840857.gpx,,,11670,4618,5602,10.832,1.213,68.6,68.6,-1.9,22.9,26.8,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.48,0,,,,7384,,,,,,,,,,,,,
1.26E+10,"Oct 9, 2024, 5:22:13 PM",very quick walk to yumi’s dorm,Walk,,6614,1.72,,,FALSE,,,activities/12616365854.gpx,,,6614,1344,1724.4,5.031,1.283,25.2,25.2,2.3,21.5,25.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.261,0,,,,2092,,,,,,,,,,,,,
1.26E+10,"Oct 10, 2024, 4:01:44 PM",Night Walk,Walk,,16497,7,,,FALSE,,,activities/12624505267.gpx,,,16497,5958,7000.4,13.576,1.175,90.8,90.8,-5,21.1,41.8,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.424,0,,,,9022,,,,,,,,,,,,,
1.26E+10,"Oct 11, 2024, 3:41:47 PM",Night Walk,Walk,,22151,8.43,,,FALSE,,,activities/12632164910.gpx,,,22151,4107,8432.4,20.462,2.053,72.1,67,-5.1,17.9,42.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1728658816,1,30.8,31.3,21.3,0.57,1008.4,1.5,2.9,351,0,1728612736,1728654720,0.25,,,0,1,0.04,19420,0,,,,,2,0.381,0,,,,4320,,,,,,,,,,,,,
1.27E+10,"Oct 14, 2024, 3:12:50 PM",forgot to end it🙃,Walk,,49407,9.93,,,FALSE,,,activities/12658221609.gpx,,,49407,5525,9932.5,21.09,1.798,95,87.4,-8.4,18,49.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1728918016,1,31.3,31.2,19,0.48,1008.4,2.1,3.6,65,0,1728872064,1728913792,0.375,,,0,1,0.01,20997,0,,,,,2,0.201,0,,,,5474,,,,,,,,,,,,,
1.27E+10,"Oct 17, 2024, 1:35:50 PM",solo walk😌,Walk,,8123,2.46,,,FALSE,,,activities/12678300560.gpx,,,8123,1800,2467.5,8.26,1.371,23.7,23.7,-1.9,17.9,13.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1729170048,1,32.6,33.8,22.4,0.55,1008,3.5,5.6,338,0,1729131392,1729172864,0.375,,,0,1,0.09,20945,0,,,,,0,0.304,0,,,,1808,,,,,,,,,,,,,
1.29E+10,"Nov 8, 2024, 4:28:08 PM",Night Walk,Walk,,19199,9.38,,,FALSE,,,activities/12854833552.gpx,,,19199,7258,9386,13.642,1.293,114.1,114.1,-6.1,21.5,47.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1731081600,1,25.8,26.7,20.9,0.74,1014.1,0.5,1.3,306,0,1731032960,1731072640,0.125,,,0,1,0,17702,0,,,,,0,0.489,0,,,,10766,,,,,,,,,,,,,
